date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:24	2118/2118	---M--	200	added ('OK')	application/javascript	etag:%223d82f4e-846-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/ionicons.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/ionicons.js	(from https://goldd.in/)
18:35:25	10826/10826	---M--	200	added ('OK')	application/javascript	etag:%223da2edf-2a4a-5b4758a4c9000%22	https://goldd.in//assets/lib/jquery.maskedinput/jquery.maskedinput.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/jquery.maskedinput/jquery.maskedinput.js	(from https://goldd.in/)
18:35:26	79270/79270	---M--	200	added ('OK')	application/javascript	etag:%223d83653-135a6-5b4758a4c9000%22	https://goldd.in//assets/lib/spectrum-colorpicker/spectrum.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/spectrum-colorpicker/spectrum.js	(from https://goldd.in/)
18:35:26	40975/40975	---M--	200	added ('OK')	application/javascript	etag:%223d826e4-a00f-5b4758a4c9000%22	https://goldd.in//assets/lib/ion-rangeslider/js/ion.rangeSlider.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ion-rangeslider/js/ion.rangeSlider.min.js	(from https://goldd.in/)
18:35:26	67940/67940	---M--	200	added ('OK')	application/javascript	etag:%223d836e5-10964-5b4758a4c9000%22	https://goldd.in//assets/lib/select2/js/select2.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/select2/js/select2.min.js	(from https://goldd.in/)
18:35:27	43578/43578	---M--	200	added ('OK')	application/javascript	etag:%223d830be-aa3a-5b4758a4c9000%22	https://goldd.in//assets/lib/jquery-simple-datetimepicker/jquery.simple-dtpicker.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/jquery-simple-datetimepicker/jquery.simple-dtpicker.js	(from https://goldd.in/)
18:35:27	37709/37709	---M--	200	added ('OK')	application/javascript	etag:%223da2ea9-934d-5b4758a4c9000%22	https://goldd.in//assets/lib/amazeui-datetimepicker/js/amazeui.datetimepicker.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/amazeui-datetimepicker/js/amazeui.datetimepicker.min.js	(from https://goldd.in/)
18:35:27	17574/17574	---M--	200	added ('OK')	application/javascript	etag:%223d836a5-44a6-5b4758a4c9000%22	https://goldd.in//assets/lib/pickerjs/picker.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/pickerjs/picker.min.js	(from https://goldd.in/)
18:35:27	1472/1472	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202021%2013:05:26%20GMT	https://goldd.in//assets/js/jquery.cookie.js	C:/xampp/htdocs/Gold/goldd.in/assets/js/jquery.cookie.js	(from https://goldd.in/)
18:35:28	3830/3830	---M--	200	added ('OK')	application/javascript	etag:%223da302c-ef6-5b4758a4c9000%22	https://goldd.in//assets/js/azia.js	C:/xampp/htdocs/Gold/goldd.in/assets/js/azia.js	(from https://goldd.in/)
18:35:29	118560/118560	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d8361f-1cf20-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.eot	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:30	65316/65316	---M--	200	added ('OK')	font/woff2	etag:%223d83625-ff24-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.woff2	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:30	76344/76344	---M--	200	added ('OK')	font/woff	etag:%223d8362b-12a38-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.woff	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400.woff	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:31	118560/118560	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d8361f-1cf20-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.eot?	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:32	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d83626-9e80-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.eot	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:32	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d83626-9e80-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.eot?	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:33	14868/14868	---M--	200	added ('OK')	font/woff2	etag:%223d83620-3a14-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.woff2	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:33	18168/18168	---M--	200	added ('OK')	font/woff	etag:%223d8362a-46f8-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.woff	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400.woff	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:34	40348/40348	---M--	200	added ('OK')	font/ttf	etag:%223d83628-9d9c-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.ttf	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:35	118324/118324	---M--	200	added ('OK')	font/ttf	etag:%223d83624-1ce34-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.ttf	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:36	142267/142267	---M--	200	added ('OK')	image/svg+xml	etag:%223d8361e-22bbb-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-regular-400.svg	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-regular-400.svg	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:38	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d83627-2c1f0-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.eot?	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:39	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d83627-2c1f0-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.eot	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900.eot	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:39	86876/86876	---M--	200	added ('OK')	font/woff	etag:%223d83621-1535c-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.woff	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900.woff	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
